country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
0,1460.0,1279,451.09648653,296.66775464,36,2.016,110.11111111111113,0.7777777777777778,1.1111111111111112,0.011132197,0.011227864,0.014,0.86138889,0.12461111,0.17923333,0
1,2190.0,1898,105.2422814,296.66775464,553,2.3503339404978747,73.19349005424955,1.0216998191681737,0.02531645569620253,0.005836651700000001,0.0025980994,0.08513,0.8593700000000001,0.055560000000000005,0.023075,1
1,1505.0,1302,113.76682189,217.7868262,618,2.8592200925313938,133.915857605178,2.9093851132686086,0.372168284789644,0.012354573,0.0055559026,0.0025,0.8680899999999999,0.12941,0.200447,1
0,1187.0,1004,186.07790664,202.52018661,38,0.7388888888888889,130.8421052631579,2.3157894736842106,0.8947368421052632,0.0030817727,0.0061440025,0.0,0.89147368,0.10852632,0.16341579,0
1,2648.0,2242,463.83773684,146.12063213,569,4.023232323232324,107.60456942003515,0.4130052724077329,0.8787346221441125,0.0074954283999999986,0.0080779307,0.0082,0.85196,0.13984000000000002,0.178535,1
0,2190.0,2190,149.23405589,240.85159376,12,0.11797752808988765,78.5,0.5,0.0,0.0059712902,0.0074414131,0.0,1.0,0.0,0.0,1
0,1613.0,1613,72.76274681,202.52018661,300,5.769230769230767,112.57333333333334,0.07,0.10666666666666667,0.0050663259,0.0042902241,0.0,0.98527,0.014730000000000004,0.027838,0
1,2538.0,2343,109.93108041,269.58455843,18,0.3461538461538461,58.88888888888889,0.0,0.1111111111111111,0.0054077059,0.0055550281000000005,0.0,0.81,0.19,0.18693333,0
1,3651.0,2884,581.98824683,161.24136564,3930,10.938369781312128,115.38753180661577,2.2165394402035625,0.34783715012722644,0.01313947,0.010180654,0.0366,0.90761,0.055770000000000014,0.034007,1
1,2556.0,1521,43.58525166,235.48940138,535,4.11991199119912,94.75514018691588,0.8878504672897196,0.6691588785046729,0.014189217,0.01204904,0.03505,0.87324,0.09169,0.08665199999999999,1
1,2862.0,3227,113.31515983,269.58455843,3355,7.044091181763648,113.65573770491804,0.964828614008942,2.7472429210134126,0.006590337,0.0079090325,0.01446,0.84654,0.139,0.212971,1
1,2921.0,1217,483.08379814,333.13595459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1630.0,1609,183.66359535,246.54901342,1880,7.847346451997613,101.84946808510635,0.7324468085106383,1.0771276595744679,0.012656203,0.0085070301,0.02027,0.79835,0.18138,0.253935,1
0,2268.962166575939,1674,9.0,209.83493615,9558,85.01397712833545,90.87214898514334,0.8652437748482946,5.103473530027203,0.0096417805,0.0072497646,0.0127,0.95659,0.03071,0.032310000000000005,1
0,2556.0,2002,135.31515983,208.41148063,256,5.047887323943662,87.89453125,0.265625,0.61328125,0.0055185603,0.017273795,0.03108,0.81392,0.15500999999999998,0.14844000000000002,0
0,2066.0,2190,145.32259462,258.15609298,1440,5.526315789473684,99.91666666666669,1.0923611111111111,0.2569444444444444,0.015019213,0.01310184,0.03035,0.8572,0.11245,0.101536,1
0,2190.0,1248,139.07292879,241.68366086,4,0.3835616438356164,99.5,1.0,0.0,0.0038021416,0.0034593898,0.107,0.767,0.126,0.1806,0
1,1340.0,2148,25.5415087,181.49914088,64,1.2513966480446927,97.640625,0.125,0.09375,0.014400921,0.016938819,0.061265625,0.8533125,0.085421875,0.072967188,0
0,1460.0,1340,113.31515983,269.58455843,61,1.2746268656716415,95.27868852459015,0.8032786885245902,0.3606557377049181,0.004208486500000001,0.0052552037,0.047491803,0.76759016,0.18490164,0.17502787,0
0,1947.0,505,382.55770616,269.58455843,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1201.0,1460,240.55744123,252.12865908,56,1.1011235955056178,94.375,0.5357142857142857,0.8214285714285714,0.0008237494000000001,0.0022772788,0.0,1.0,0.0,0.0,0
1,2190.0,1268,295.71805261,300.98929593,303,5.8269230769230775,112.11221122112214,0.8976897689768977,2.01980198019802,0.0060718898,0.017753627,0.03644,0.8124100000000001,0.15115,0.14543499999999998,0
0,1825.0,1267,57.25883851,110.81369335,3057,21.57157258064516,137.51357540071967,1.409224730127576,0.8609748119070985,0.015632136,0.0054890513,0.028030000000000003,0.8272299999999999,0.14474,0.198784,1
0,1064.0,875,293.61490986,213.24378839,174,1.7011173184357542,123.94252873563221,1.442528735632184,2.545977011494253,0.011913867,0.0079989573,0.01591,0.89497,0.08912,0.107294,1
1,3073.0,2648,43.77630154,182.81355994,6305,23.13155136268344,87.9787470261697,0.10420301348136399,1.6816812053925456,0.014109853,0.0075647957,0.01311,0.79773,0.18916,0.281378,1
